[[15, 6, 1], 0.05256783839973276]
[[16, 3, 3], 0.05187418530980159]
[[16, 4, 2], 0.05182546324867228]
[[16, 5, 1], 0.05168007413079286]
[[17, 3, 2], 0.05079637596630117]
[[17, 4, 1], 0.05071070623061942]
[[18, 2, 2], 0.049725064338521675]
[[18, 3, 1], 0.04968722527147425]
[[19, 2, 1], 0.04863196933148143]
[[20, 1, 1], 0.047562479494725904]
[[8, 8, 7], 0.05499289166878804]
[[9, 7, 7], 0.05488677597620611]
[[9, 8, 6], 0.05479050161772802]
[[9, 9, 5], 0.05450662460286098]
[[10, 7, 6], 0.05457497267315686]
[[10, 8, 5], 0.05439704188630351]
[[10, 9, 4], 0.05404913635387096]
[[10, 10, 3], 0.05354603714394719]
[[11, 6, 6], 0.05415766999327681]
[[11, 7, 5], 0.05407570203341491]
[[11, 8, 4], 0.053833007814445256]
[[11, 9, 3], 0.05343883493946991]
[[11, 10, 2], 0.052907411785343396]
[[11, 11, 1], 0.052256445381682164]
[[12, 6, 5], 0.05356304042943201]
[[12, 7, 4], 0.053415273527743584]
[[12, 8, 3], 0.05312462787403768]
[[12, 9, 2], 0.0527004223319711]
[[12, 10, 1], 0.0521555664760437]
[[13, 5, 5], 0.052888071688292196]
[[13, 6, 4], 0.052821529380152596]
[[13, 7, 3], 0.05262377215078677]
[[13, 8, 2], 0.05230027245567721]
[[13, 9, 1], 0.05185971007846549]
[[14, 5, 4], 0.052083268583860434]
[[14, 6, 3], 0.05196503192610402]
[[14, 7, 2], 0.051731332526395994]
[[14, 8, 1], 0.05138756480440175]
[[15, 4, 4], 0.05123302938470309]
[[15, 5, 3], 0.051180409260620015]
[[15, 6, 2], 0.05102358665608758]
[[15, 7, 1], 0.050765632309954865]
[[16, 4, 3], 0.05030102913564169]
[[16, 5, 2], 0.050208019608372886]
[[16, 6, 1], 0.050023536770037555]
[[17, 3, 3], 0.04935467107152622]
[[17, 4, 2], 0.04931342144210475]
[[17, 5, 1], 0.04919024738615283]
[[18, 3, 2], 0.04836473453753713]
[[18, 4, 1], 0.0482917708209116]
[[19, 2, 2], 0.04738255457215256]
[[19, 3, 1], 0.0473501465142865]
[[20, 2, 1], 0.04638331357880972]
[[21, 1, 1], 0.04540544774255192]
[[8, 8, 8], 0.052734375004188525]
[[9, 8, 7], 0.05264324328269264]
[[9, 9, 6], 0.05247078535185384]
[[10, 7, 7], 0.05245613894324511]
[[10, 8, 6], 0.05237476844836694]
[[10, 9, 5], 0.05213424031651608]
[[10, 10, 4], 0.051744788620502045]
[[11, 7, 6], 0.0520925500086909]
[[11, 8, 5], 0.05194278997206564]
[[11, 9, 4], 0.05164898823207121]
[[11, 10, 3], 0.05122190317824333]
[[11, 11, 2], 0.05067613537436493]
[[12, 6, 6], 0.051640362452227896]
[[12, 7, 5], 0.05157161722449368]
[[12, 8, 4], 0.051367669163922706]
[[12, 9, 3], 0.05103515721243092]
[[12, 10, 2], 0.05058444022428562]
[[12, 11, 1], 0.05002866908254685]
[[13, 6, 5], 0.05104163256525182]
[[13, 7, 4], 0.050917681777156054]
[[13, 8, 3], 0.050673274094864]
[[13, 9, 2], 0.050315128273361445]
[[13, 10, 1], 0.04985268374621179]
[[14, 5, 5], 0.05037900874635283]
[[14, 6, 4], 0.05032314471760943]
[[14, 7, 3], 0.05015689355628705]
[[14, 8, 2], 0.049884197650951784]
[[14, 9, 1], 0.04951136582452227]
[[15, 5, 4], 0.04961134503826301]
[[15, 6, 3], 0.0495117451519939]
[[15, 7, 2], 0.04931455575158481]
[[15, 8, 1], 0.049023705954697024]
[[16, 4, 4], 0.04880932433084078]
[[16, 5, 3], 0.048764837149100224]
[[16, 6, 2], 0.04863213557719727]
[[16, 7, 1], 0.04841347374301626]
[[17, 4, 3], 0.04794168942690378]
[[17, 5, 2], 0.04786266085874236]
[[17, 6, 1], 0.04770574412769269]
[[18, 3, 3], 0.04706478932027564]
[[18, 4, 2], 0.047029569114645245]
[[18, 5, 1], 0.0469243407584276]
[[19, 3, 2], 0.04615301824438749]
[[19, 4, 1], 0.04609037800680397]
[[20, 2, 2], 0.04524965658564488]
[[20, 3, 1], 0.04522169030919397]
[[21, 2, 1], 0.04433283141707654]
[[22, 1, 1], 0.04343537424968711]
[[9, 8, 8], 0.050597799347330066]
