[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 9], [1, 0, 7], [0, 1, 0]], [1.0, 1.4073, 12.0927]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 10], [1, 0, 6], [0, 1, 0]], [1.0, 1.3206, 12.3589]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 11], [1, 0, 5], [0, 1, 0]], [1.0, 1.2434, 12.7697]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 12], [1, 0, 4], [0, 1, 0]], [1.0, 1.1771, 13.2915]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 13], [1, 0, 3], [0, 1, 0]], [0.0653, 1.5825, 18.0736]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 14], [1, 0, 2], [0, 1, 0]], [1.0, 1.0738, 14.5574]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 15], [1, 0, 1], [0, 1, 0]], [1.0, 1.0339, 15.2629]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 9], [1, 0, 8], [0, 1, 0]], [1.0, 1.456, 12.772]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 10], [1, 0, 7], [0, 1, 0]], [1.0, 1.3706, 12.9441]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 11], [1, 0, 6], [0, 1, 0]], [1.0, 1.2921, 13.2697]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 12], [1, 0, 5], [0, 1, 0]], [1.0, 1.2228, 13.7202]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 13], [1, 0, 4], [0, 1, 0]], [1.0, 1.163, 14.2663]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 14], [1, 0, 3], [0, 1, 0]], [1.0, 1.1121, 14.8836]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 15], [1, 0, 2], [0, 1, 0]], [1.0, 1.0687, 15.5534]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 16], [1, 0, 1], [0, 1, 0]], [1.0, 1.0317, 16.2621]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 9], [1, 0, 9], [0, 1, 0]], [1.0, 1.5, 13.5001]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 10], [1, 0, 8], [0, 1, 0]], [1.0, 1.4174, 13.5826]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 11], [1, 0, 7], [0, 1, 0]], [1.0, 1.3391, 13.8218]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 12], [1, 0, 6], [0, 1, 0]], [1.0, 1.2679, 14.1962]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 13], [1, 0, 5], [0, 1, 0]], [1.0, 1.2053, 14.6789]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 14], [1, 0, 4], [0, 1, 0]], [1.0, 1.151, 15.245]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 15], [1, 0, 3], [0, 1, 0]], [1.0, 1.1044, 15.8739]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 16], [1, 0, 2], [0, 1, 0]], [1.0, 1.0643, 16.5498]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 17], [1, 0, 1], [0, 1, 0]], [1.0, 1.0298, 17.2614]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 10], [1, 0, 9], [0, 1, 0]], [1.0, 1.4606, 14.2697]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 11], [1, 0, 8], [0, 1, 0]], [1.0, 1.3837, 14.4244]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 12], [1, 0, 7], [0, 1, 0]], [1.0, 1.3119, 14.7202]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 13], [1, 0, 6], [0, 1, 0]], [1.0, 1.2472, 15.1347]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 14], [1, 0, 5], [0, 1, 0]], [1.0, 1.1902, 15.6441]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 15], [1, 0, 4], [0, 1, 0]], [1.0, 1.1406, 16.2268]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 16], [1, 0, 3], [0, 1, 0]], [1.0, 1.0976, 16.8655]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 17], [1, 0, 2], [0, 1, 0]], [1.0, 1.0604, 17.5467]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 18], [1, 0, 1], [0, 1, 0]], [1.0, 1.0282, 18.2607]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 10], [1, 0, 10], [0, 1, 0]], [1.0, 1.5, 15.0001]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 11], [1, 0, 9], [0, 1, 0]], [1.0, 1.4256, 15.0744]]
[[[0, 0, 0], [1, 0, 0], [0, 1, 0], [0, 0, 12], [1, 0, 8], [0, 1, 0]], [1.0, 1.3542, 15.2915]]
