[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 2], [0, 0, 10]], array([ 1.58351827,  1.4440329 ,  5.05673325])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 3], [0, 0, 10]], array([ 1.33568423,  1.94686058,  4.05342839])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 1], [0, 0, 11]], array([ 1.76663681,  1.32091706,  3.67280741])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 2], [0, 0, 11]], array([ 1.33701358,  1.93435101,  2.70746392])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 1], [0, 0, 12]], array([ 1.33957878,  1.92544855,  1.35668487])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 0], [0, 0, 13]], array([  1.49996806,   1.50002578,  13.00001998])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 4], [0, 1, 5], [0, 0, 5]], array([ 2.3971471 ,  0.93268196,  7.20523118])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 4], [0, 1, 4], [0, 0, 6]], array([ 2.45963798,  0.91939745,  7.50818024])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 5], [0, 0, 6]], array([  1.39227983,   2.06684742,  11.34115839])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 6], [0, 0, 6]], array([ 5.51394366,  1.82097437,  0.34396485])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 4], [0, 0, 7]], array([ 10.98973774,   2.45151544, -14.62015761])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 5], [0, 0, 7]], array([ 1.49673771,  1.90057776,  8.49063304])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 6], [0, 0, 7]], array([ 1.35875236,  1.92631832,  9.39996394])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 7], [0, 0, 7]], array([ 1.33333333,  2.        ,  9.33333333])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 3], [0, 0, 8]], array([ 0.90323647,  2.83234073,  6.79639043])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 4], [0, 0, 8]], array([ 2.76522859,  0.89274606,  4.50060664])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 5], [0, 0, 8]], array([ 1.39351435,  1.77572229,  8.94442118])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 6], [0, 0, 8]], array([ 1.33380245,  1.98465018,  8.03982682])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 3], [0, 0, 9]], array([ 0.89727516,  2.93966219,  4.85125167])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 4], [0, 0, 9]], array([ 1.43725541,  1.64536395,  7.86837913])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 5], [0, 0, 9]], array([ 1.33431855,  1.97018559,  6.72505973])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 2], [0, 0, 10]], array([ 2.80748142,  0.87111528,  4.58443055])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 3], [0, 0, 10]], array([ 1.49581108,  1.53526408,  6.51295629])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 4], [0, 0, 10]], array([ 1.33493555,  1.95660043,  5.39515194])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 2], [0, 0, 11]], array([ 1.58937104,  1.43053334,  5.07177409])]
